player_name,team,total_hits,at_bats,obp,bb_rate,k_rate
"Miller, Mitch",SEA,0,7,0.0,0.0,0.42857142857142855
"Young, Danny",TOR,56,260,0.22772277227722773,0.05,0.36923076923076925
"Davidson, Tucker",MIN,141,543,0.29402756508422667,0.09392265193370165,0.287292817679558
"Gardner, Sam",COL,0,3,0.0,0.0,0.3333333333333333
"Hudson, Daniel",COL,7,37,0.19047619047619047,0.02702702702702703,0.16216216216216217
"Baumann, Mike",ATL,0,2,0.3333333333333333,0.5,0.5
"Miller, Erik",AZ,0,2,0.3333333333333333,0.5,1.0
"Mayza, Tim",PIT,70,240,0.3220338983050847,0.10416666666666667,0.30833333333333335
"Dodd, Dylan",BOS,0,3,0.0,0.0,0.3333333333333333
"Crochet, Garrett",SEA,9,50,0.265625,0.16,0.42
"Schultz, Andrew",NYY,0,2,0.0,0.0,0.0
"McGough, Scott",SEA,0,2,0.0,0.0,0.5
"Keller, Mitch",CIN,10,60,0.2222222222222222,0.13333333333333333,0.31666666666666665
"García, Luis",TB,78,400,0.23275862068965517,0.075,0.435
"Townsend, Blake",CHC,0,3,0.0,0.0,0.6666666666666666
"Bender, Anthony",NYM,1,4,0.25,0.0,0.5
"De Paula, Brayan",HOU,0,1,0.0,0.0,1.0
"Casparius, Ben",COL,144,528,0.30337078651685395,0.08522727272727272,0.30492424242424243
"Thompson, Ryan",SEA,2,5,0.5,0.2,0.4
"Strickland, Hunter",KC,0,2,0.0,0.0,0.5
"Poulin, PJ",CLE,0,1,0.0,0.0,0.0
"Sands, Cole",MIA,43,164,0.25668449197860965,0.03048780487804878,0.35365853658536583
"Harvey, Hunter",HOU,0,1,0.0,0.0,1.0
"Garabito, Gerson",LAA,87,396,0.2670940170940171,0.09595959595959595,0.33585858585858586
"Cummings, Ty",CIN,0,2,0.0,0.0,0.5
"McGreevy, Michael",SF,60,246,0.27007299270072993,0.056910569105691054,0.26422764227642276
"Justice, Evan",SF,2,5,0.4,0.0,0.0
"Silva, Eric",CHC,0,2,0.0,0.0,0.0
"Spence, Mitch",CWS,1,1,0.5,0.0,0.0
"Cleavinger, Garrett",SD,13,58,0.273972602739726,0.1206896551724138,0.20689655172413793
"Kahnle, Tommy",DET,19,73,0.3132530120481928,0.0958904109589041,0.3150684931506849
"Harrison, Kyle",CIN,1,2,0.5,0.0,0.0
"Martin, Chris",TB,41,156,0.2857142857142857,0.057692307692307696,0.24358974358974358
"Birdsong, Hayden",STL,37,145,0.313953488372093,0.11724137931034483,0.36551724137931035
"Gausman, Kevin",TEX,18,103,0.168141592920354,0.009708737864077669,0.2621359223300971
"McDermott, Chayce",TB,1,2,0.5,0.0,0.0
"Little, Luke",MIL,6,33,0.2,0.030303030303030304,0.2727272727272727
"Chapman, Aroldis",CIN,50,218,0.2677165354330709,0.08256880733944955,0.30275229357798167
"Wilson, Justin",CIN,0,1,0.0,0.0,1.0
"Silven, Yoelvin",OAK,0,5,0.0,0.0,0.6
"McKay, Tyler",MIA,1,1,1.0,0.0,0.0
"Benitez, Jorge",NYY,1,4,0.2,0.0,0.75
"Hendricks, Kyle",CIN,92,353,0.28465346534653463,0.06515580736543909,0.16147308781869688
"Stanek, Ryne",SD,3,19,0.2,0.05263157894736842,0.21052631578947367
